,Access Date,Author,Book Title,Chapter,Collection Title,DOI,Database Provider,Editor,ISBN,ISSN,Issue,Journal,Keywords,Language,Legal Note,Library/Archive,Name of Database,Notes,Number of Pages,Number of Volumes,Original Publication,Pages,Place Published,Publisher,Record Number,Reference Type,Series Title,Series Volume,Short Title,Start Page,Title,URL,Version,Volume,Volume/Storage Container,Year
0,,"Radovac, Lilian",,,,,,,,0003-0678,3,American Quarterly,,,,,WorldCat.org,,,,,733-760,,,3, Journal Article,,,"The ""War on Noise""",733,"The ""War on Noise""",,,63,,2011
1,,"Blount, Marcellus",,,,,,,,0896-7148,3,American Literary History,,,,,WorldCat.org,,,,,675-688,,,11, Journal Article,,,"""A Certain Eloquence""",675,"""A Certain Eloquence""",,,1,,1989
2,,"Hanlon, Christopher",,,,,,,,0093-3139,4,College Literature,,,,,WorldCat.org,,,,,74-98,,,10, Journal Article,,,"Eloquence and ""Invisible Man""",74,"Eloquence and ""Invisible Man""",,,32,,2005
3,,"Corbould, Clare",,,,,,,,0022-4529,4,Journal of Social History,,,,,WorldCat.org,,,,,859-894,,,14, Journal Article,,,"Streets, Sounds and Identity in Interwar Harlem",859,"Streets, Sounds and Identity in Interwar Harlem",,,40,,2007
4,,"Conquergood, Dwight",,,,,,,,1046-2937,4,Text and Performance Quarterly,,,,,WorldCat.org,,,,,325-341,,,6, Journal Article,,,Rethinking Elocution,325,Rethinking Elocution,,,20,,2000
5,,"James, Henry",,,,,,"Walker, Pierre A.",080322589X 9780803225893,,,,,,,,WorldCat,,,,,"xliv, 226 pages ; 24 cm",Lincoln,University of Nebraska Press,16, Book,,,Henry James on Culture,,Henry James on Culture,http://catdir.loc.gov/catdir/enhancements/fy0709/98038341-b.html,,,,1999
6,,"Radovac, Lillian",,,,10.1080/14791420.2013.829636,,,,1479-1420,1,Communication and Critical/Cultural Studies,,,,,WorldCat.org,,,,,34-41,,,1, Journal Article,,,Mic Check,34,Mic Check,,,11,,2014
7,,"Radovac, Lilian",,,,10.1215/01636545-2799899,,,,0163-6545,121,Radical History Review,,,,,WorldCat.org,,,,,32-50,,,2, Journal Article,,,Muting Dissent,32,Muting Dissent,,,,,2015
8,,"Derrida, Jacques",The Sound Studies Reader,"x, 566 pages ; 26 cm",,,,"Sterne, Jonathan",9780415771306 0415771307 9780415771313 0415771315,,,,,,,,WorldCat,,,,,495-503,New York,Routledge,8, Book Section,,,The Voice that Keeps Silence,,The Voice that Keeps Silence,,,,,2012
9,,"Barthes, Roland",The Sound Studies Reader,"x, 566 pages ; 26 cm",,,,"Sterne, Jonathan",9780415771306 0415771307 9780415771313 0415771315,,,,,,,,WorldCat,,,,,504-510,New York,Routledge,27, Book Section,,,The Grain of the Voice,,The Grain of the Voice,,,,,2012
10,,"Stoever, Jennifer Lynn",,,,,,,9781479890439 147989043X 9781479889341 1479889342,,,,,,,,WorldCat,,,,,"xvi, 331 pages ; 24 cm.",New York,New York University Press,4, Book,,,The Sonic Color Line,,The Sonic Color Line,,,,,2016
11,,"Ellison, Ralph",,,,,,,,,,,,,,,,,,,,,New York,Modern Library,28, Book,,,Invisible Man,,Invisible Man,,,,,1952
