cluster,docId,document title
Cluster-1,DX1901793186,"ENIGMAS, CHARADES, &c."
Cluster-1,DX1901507734,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,DX1901245378,INTELLECTUAL ENTERTAINMENT
Cluster-1,DX1901509989,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,DX1901519236,PUZZLES
Cluster-1,DX1901146396,OUR PRIZE TOURNAMENT
Cluster-1,DX1901677393,CHARADE
Cluster-1,DX1901526237,AMUSING
Cluster-1,DX1901685782,PUZZLE PAGES
Cluster-1,CC1903267759,RECREATION COLUMN
Cluster-1,DX1901499626,"ENIGMAS, CHARADES, ETC."
Cluster-1,DX1901124085,Crackers for the Ingenious
Cluster-1,DX1901720598,PUZZLES
Cluster-1,DX1901526205,AMUSING
Cluster-1,DX1901678079,SCRIPTURE PUZZLES
Cluster-1,DX1901519607,PUZZLE PAGE
Cluster-1,DX1901506454,RIDDLE-ME-REES AND THEIR ANSWERS
Cluster-1,DX1901179256,"BIBLICAL, HISTORICAL, AND GEOGRAPHICAL PUZZLES"
Cluster-1,DX1901511678,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,DX1901503963,OUR PUZZLE PAGES
Cluster-1,DX1901526906,AMUSING
Cluster-1,DX1901678130,Our Puzzle Department
Cluster-1,CC1903079226,Missionary Bible Enigmas
Cluster-1,DX1901105091,Crackers for the Dugenious
Cluster-1,GODIVU657973741,Enigma
Cluster-1,DX1901679518,PUZZLES
Cluster-1,JCVZYN266216345,Enigmatical Pastimes
Cluster-1,DX1901519522,PUZZLE PAGE
Cluster-1,DX1901683804,CHARADE
Cluster-1,MLANMN808487486,Puzzles Riddles
Cluster-1,DX1901520184,PUZZLE PAGE
Cluster-1,DX1902042525,PRIZE SCRIPTURE QUESTIONS
Cluster-1,GOMHLA190557112,The Puzzler
Cluster-1,DX1902136474,CHARADE
Cluster-1,DX1901519372,PUZZLE PAGE
Cluster-1,DX1901731451,PUZZLE PAGES
Cluster-1,CC1903240393,OUR PUZZLES
Cluster-1,GPNKRZ771084855,Puzzles Riddles
Cluster-1,DX1901125034,Crackers for the Ingenious
Cluster-1,DX1901513740,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,DX1901686984,PUZZLE PAGES
Cluster-1,GGOBKR646098633,Puzzles Riddles
Cluster-1,DX1901676876,CHARADE
Cluster-1,DX1901508328,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,DX1901503662,PUZZLES (continued from p. 63)
Cluster-1,DX1901516175,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,DX1901105941,Crakers for the Ingenious
Cluster-1,DX1901678249,SCRIPTURE PUZZLES
Cluster-1,DX1901728655,PUZZLES
Cluster-1,DX1901499306,"ENIGMAS, CHARADES, E. T. C"
Cluster-1,DX1901869514,"ENIGMAS, CHARADES, ETC."
Cluster-1,JYBBIP940672800,The Puzzler
Cluster-1,DX1901510865,"ANSWER TO RIDDLE, PAGE 31"
Cluster-1,CC1903240410,OUR PUZZLES
Cluster-1,DX1901503140,RIDDLE-ME-REE
Cluster-1,DX1901496252,OUR PRIZE ENIGMA COMPETITION
Cluster-1,DX1901115737,Crackers for the Ingenious
Cluster-1,DX1901514630,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,GEQBTB729812681,Enigmatical Pastimes
Cluster-1,DX1901793773,"ENIGMAS, CHARADES, &c."
Cluster-1,DX1901869303,"ENIGMAS, CHARADES, ETC."
Cluster-1,BHUULK913348683,Puzzles Riddles
Cluster-1,BGTWML275523811,Prize Enigmatical Pastimes
Cluster-1,DX1901499579,"ENIGMAS, CHARADES, ETC."
Cluster-1,DX1901506271,A RIDDLE-ME-REE
Cluster-1,DX1901907403,PUZZLE PAGES
Cluster-1,XWJUWZ144374051,Enigmatical and Amusing Exercises
Cluster-1,DX1901505727,PRIZE PUZZLE COMPETITION
Cluster-1,DX1901053014,PUZZLEDOM. BY MRS. BRODERIP
Cluster-1,DX1901679531,PUZZLES
Cluster-1,DX1901519584,PUZZLE PAGE
Cluster-1,DX1901515413,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,HICEXE787786821,Enigma
Cluster-1,DX1901499362,"ENIGMAS, CHARADES, ETC"
Cluster-1,DX1901123747,Crackers for the Ingenious
Cluster-1,HQPICC952929632,The Puzzler
Cluster-1,CC1903080187,Prize Competitions
Cluster-1,DX1901526012,"Answers to Riddles, Charades, &c., In July Number"
Cluster-1,WOTLIV091616039,The Puzzler
Cluster-1,ADTCNH274761200,Enigmatical and Amusing Exercises for Leisure Moments
Cluster-1,DX1901497659,NUTS TO CRACK
Cluster-1,DX1901516690,OUR LITTLE FOLKS' OWN PUZZLES
Cluster-1,DX1901516646,AWARD OF PRIZES IN THE 1894 SPECIAL COMPETITIONS
Cluster-1,DX1901526301,AMUSING
Cluster-1,CC1903240301,OUR PUZZLES
Cluster-1,DX1901530223,PUZZLEDOM
Cluster-1,PQGGOP024779389,Our Sphinx
Cluster-1,DX1901519904,PUZZLE PAGE
Cluster-1,CC1904016863,PUZZLES
Cluster-1,DX1901499130,NUTS TO CRACK
Cluster-1,NROVYK873371854,Enigmatical Pastimes
Cluster-1,DX1901684121,CHARADE
Cluster-1,HBXRMD790983134,The Puzzler
Cluster-1,DX1901793237,"ENIGMAS, CHARADES, &c."
