docId,document title,publication year,sentiment score,relative mean score
DX1901530122,PRIZE AWARDS,"1881",2.3,3.5211
DX1901497988,OUR PRIZE COMPETITIONS,"1874",2.1111,3.161
DX1901869184,"ENIGMAS, CHARADES, &c.","1867",2,2.9491
DX1901508953,OUR LITTLE FOLKS' OWN PUZZLES,"1887",2,2.9491
DX1901676950,CHARADE,"1844",2,2.9491
DX1901499723,"PRIZES FOR ORIGINAL ENIGMAS, ETC","1868",2,2.9491
PWFONX422694262,Skates!,"1886",1.8889,2.7373
DX1901906578,"ENIGMAS, CHARADES, ETC.","1867",1.8,2.5678
DX1901498228,OUR PRIZE COMPETITIONS,"1875",1.8,2.5678
CC1903240561,OUR PUZZLES,"1900",1.7778,2.5254
DX1901496917,OUR PRIZE COMPETITIONS,"1872",1.7778,2.5254
DX1901498505,OUR PRIZE COMPETITIONS,"1871",1.7778,2.5254
DX1901531488,NUTS TO CRACK,"1887",1.75,2.4725
CC1903079794,Our Puzzle Box,"1896",1.75,2.4725
DX1902136578,RIDDLE,"1848",1.75,2.4725
CC1903069166,Missionary Enigma,"1870",1.7143,2.4044
DX1901531897,NUTS TO CRACK,"1887",1.7059,2.3883
LTBTQB631436257,Award of Prizes,"1885",1.7059,2.3883
DX1901678078,Our Puzzle Department,"1868",1.6875,2.3533
DX1901498663,OUR NUTS TO CRACK COMPETITIONS,"1871",1.6842,2.347
DX1901683855,RIDDLE,"1841",1.6667,2.3136
DX1901064366,TWENTY-FIVE POUNDS RIDDLE TOURNAMENT PRIZE,"1885",1.6667,2.3136
OMUGUF837422493,Puzzle Department,"1859",1.6667,2.3136
PCHCWO103231262,Award of Prizes,"1885",1.625,2.2341
DX1901526089,"Answers to Riddles, Charades, &c., In September Number","1866",1.6154,2.2158
DX1901684232,A RIDDLE,"1842",1.6,2.1865
MTKDFU208956571,Our Sphinx,"1867",1.6,2.1865
CC1903080034,Prize Competitions,"1897",1.6,2.1865
DX1901723628,BIBLE ENIGMAS AND ACROSTICS,"1895",1.5882,2.164
DX1901724908,BIBLICAL CHARADE,"1899",1.5833,2.1547
DX1901149683,PUZZLES,"1892",1.5833,2.1547
DX1901793603,"PRIZE ENIGMAS, CHARADES, AND PROVERBS","1866",1.5833,2.1547
DX1902047417,OUR PRIZE TOURNAMENT,"1883",1.5738,2.1365
DX1901723440,BIBLE TEACHING CLASS,"1894",1.5714,2.132
ISABNM360126360,Our Drawer,"1874",1.5714,2.132
ALGPWX416910971,The Puzzler,"1871",1.5625,2.115
DX1901497093,OUR PRIZE CHARADE,"1873",1.56,2.1102
DX1901793334,"ENIGMAS, CHARADES, &c.","1866",1.5556,2.1017
CC1903079688,Our Puzzle Box,"1896",1.5455,2.0825
DX1901499777,"ENIGMAS, CHARADES ETC","1868",1.5455,2.0825
DX1901793648,"ENIGMAS, CHARADES, &c.","1866",1.5333,2.0594
DX1901793773,"ENIGMAS, CHARADES, &c.","1866",1.5238,2.0412
TRHZHV236145269,Weekly Prize Competition for Number 18,"1885",1.5,1.9958
MMZGYF304208977,The Riddler,"1887",1.5,1.9958
CC1903080211,Prize Competitions,"1897",1.5,1.9958
DX1901684235,RIDDLE,"1842",1.5,1.9958
DX1901677576,CHARADE,"1845",1.5,1.9958
ETSLRQ052025562,Puzzles Riddles &c,"1877",1.5,1.9958
DX1901241938,A RIDDLE,"1800",1.5,1.9958
JGWHGN521487670,The Puzzler,"1869",1.5,1.9958
DX1901124293,Crackers for the Ingenious,"1873",1.5,1.9958
DX1901677012,CHARADE,"1844",1.5,1.9958
DX1901241900,CHARADES,"1800",1.4783,1.9544
CC1903079841,Our Puzzle Box,"1896",1.4727,1.9438
DX1901496964,OUR NUTS TO CRACK COMPETITIONS,"1872",1.4706,1.9397
DX1901115758,Crackers for the Ingenious,"1880",1.4706,1.9397
XEUEAQ869060091,The Puzzler,"1870",1.4545,1.9092
TGKRDM196158817,Puzzles Riddles &c,"1877",1.4444,1.8899
CC1903240697,OUR PUZZLES,"1900",1.4286,1.8596
DX1901724069,HIDDEN TEXT AND BIBLICAL CHARADE,"1896",1.4286,1.8596
NROVYK873371854,Enigmatical Pastimes,"1873",1.4286,1.8596
DX1901058817,RIDDLE TOURNAMENT,"1883",1.4286,1.8596
DX1901869240,CHARADE BY PORSON,"1867",1.4286,1.8596
DX1901176751,SCRIPTURE ENIGMA,"1870",1.4211,1.8453
CC1903240485,OUR PUZZLES,"1899",1.4211,1.8453
DX1901725675,THE DECEMBER COMPETITION,"1881",1.4167,1.8369
DX1901057413,RIDDLE TOURNAMENT,"1882",1.4159,1.8355
DX1901793755,"ENIGMAS, CHARADES, &c.","1866",1.4118,1.8276
RDTTNY672948048,Our Nut-Cracker,"1875",1.4118,1.8276
DX1901242085,NEW CHARADES,"1801",1.4118,1.8276
DX1901064222,RIDDLE TOURNAMENT,"1887",1.4091,1.8225
CC1903079889,Our Puzzle Box,"1896",1.4,1.8052
DX1901519104,PUZZLES,"1879",1.375,1.7575
CC1903079567,Our Puzzle Box,"1895",1.375,1.7575
DX1901072860,RIDDLE TOURNAMENT,"1887",1.373,1.7536
DX1901869429,"ENIGMAS, CHARADES, ETC.","1868",1.3684,1.7449
DX1901498558,OUR PRIZE AWARDS,"1871",1.3678,1.7438
DX1901733479,CHARADES,"1863",1.3636,1.7358
DX1901496252,OUR PRIZE ENIGMA COMPETITION,"1870",1.3621,1.7328
BBVWOM421176613,The Riddler,"1886",1.3559,1.7211
DX1901499862,PICTORIAL CHARADE,"1869",1.35,1.7098
