,Unnamed: 0,UN,Riddle,Answer,BOFs containing riddle,Number of times used,Dish,Notes,Hints,BOF_Appearance_Number
0,0,UR_1,The Ornamental part of the Head,Hare (Hair),BOF_13; BOF_1; BOF_2; Y3202620781; DX1901678851; BB3206029243; BA3200055553; Y3200665511; DX1901245378; BOF_8; BOF_9; BOF_12; BOF_14; ,,Main / Second / Vegetables,,,13.0
1,1,UR_2,The Divine / Immortal Part of Man (Boiled / Fried),Heart / Sole,BOF_13; BOF_2; BOF_6; BOF_7; Y3202620781; U0108582201; CW0124558740; DX1901678851; Z2001239391; BB3206029243; CEMMIP364981254; Y3200665511; DX1901245378; CW0114771776; BOF_8; BOF_9; BOF_10; BOF_14; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Main / Second / Vegetables,,,23.0
2,2,UR_3,A Tailor's Implement / Iron / Tool / Weapon / Practice(?) / Prerequisites,Goose,BOF_13; BOF_1; GT3016100102; CKUEYG670970773; GT3012297379; HJVZYZ447202786; GT3003085809; BOF_11; BOF_12; BOF_14; ,,Main / Second / Vegetables,,,10.0
3,3,UR_4,A Blockhead (Hashed),Calves-Head,BOF_13; BOF_1; BOF_2; BOF_7; CW0124558740; DX1901678851; Z2001239391; DX1901245378; CW0114771776; BOF_9; BOF_10; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Main / Second / Vegetables,,,16.0
4,4,UR_5,The Grand Seignors Dominions,Turkey,BOF_13; BOF_1; BOF_2; BOF_6; BOF_7; Y3202620781; U0108582201; CW0124558740; DX1901678851; Z2001239391; BB3206029243; CEMMIP364981254; Y3200665511; DX1901245378; CW0114771776; BOF_8; BOF_9; BOF_10; BOF_11; BOF_12; BOF_14; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Main / Second / Vegetables,,,26.0
5,5,UR_6,A Lean Wife,Spare-Rib,BOF_13; BOF_1; BOF_2; Y3202620781; U0108582201; CKUEYG670970773; DX1901678851; BB3206029243; HJVZYZ447202786; CEMMIP364981254; Y3200665511; DX1901245378; BOF_8; BOF_9; BOF_14; ,,Main / Second / Vegetables,,,15.0
6,6,UR_7,An Unruly Member (garnished with perpetual motion),Tongue (currant?),BOF_13; BOF_2; BOF_7; U0108582201; Z2001239391; BB3206029243; BA3200055553; CEMMIP364981254; Y3200665511; DX1901245378; CW0114771776; BOF_8; BOF_9; BOF_10; BOF_14; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Main / Second / Vegetables,,,20.0
7,7,UR_8,A Sign of the Zodiac (buttered),Fish / Buttered Crab,BOF_13; BOF_1; BOF_2; BOF_6; BOF_7; Y3202620781; U0108582201; CW0124558740; DX1901678851; Z2001239391; BB3206029243; CEMMIP364981254; Y3200665511; DX1901245378; CW0114771776; BOF_8; BOF_9; BOF_10; BOF_14; BOF_15; BOF_16; BOF_17; BOF_18; BOF_19; ,,Main / Second / Vegetables,,,24.0
8,8,UR_9,"The Earth, and a thing of Small Value",Ground-nut,BOF_13; ,,Main / Second / Vegetables,,,1.0
9,9,UR_10,A Tailor's Plunder / Delight,Cabbage,BOF_13; BOF_2; DX1901678851; BB3206029243; Y3200665511; DX1901245378; BOF_8; BOF_9; BOF_14; ,,Main / Second / Vegetables,,,9.0
10,10,UR_11,"A Dish made of Indian Corn, and Several Apartments in a House",Mushrooms,BOF_13; ,,Main / Second / Vegetables,,,1.0
11,11,UR_12,"Equal in Number, and Odd Ends",Parsnips,BOF_13; BOF_1; BOF_14; ,,Main / Second / Vegetables,,,3.0
12,12,UR_13,"An Iron Vessel, and Eight / Two Ciphers",Potatoes,BOF_13; BOF_1; BOF_14; ,,Main / Second / Vegetables,,,3.0
13,13,UR_14,Marks of Contempt,Turnips,BOF_13; BOF_14; ,,Main / Second / Vegetables,,,2.0
14,14,UR_15,"The Work of a Spider, and Long Life / Old Age",Spinach,BOF_13; BOF_1; BOF_14; ,,Main / Second / Vegetables,,,3.0
