,Unnamed: 0,Unnamed: 0.1,UN,Riddle,Answer,BOFs containing riddle,Number of times used,Dish,Notes,Hints,BOF_Appearance_Number,Corrosponding eBOF riddle
0,0,0,UR_243,An Old Sailor,Salt,"Cheltenham Chronicle December 08, 1900;",,,,,2.0,
1,1,1,UR_244,Acids (Solidified),Lemonade (Lemons),"Cheltenham Chronicle December 08, 1900; Oakes weekly Republican February 07, 1896; Evening Capital Journal March 26, 1892; The State Rights Democrat April 03, 1891; The Columbian April 26, 1892; Wyoming County Times Warsaw March 17, 1892;",,,,,7.0,UR_51
2,2,2,UR_245,A Lady's Coiffure,Bun,"Cheltenham Chronicle December 08, 1900;",,,,,2.0,
3,3,3,UR_246,Seashore Delights,Sandwiches,"Cheltenham Chronicle December 08, 1900;",,,,,2.0,
4,4,4,UR_247,Neptune's Trident,Fork,"Cheltenham Chronicle December 08, 1900;",,,,,2.0,
5,5,5,UR_248,The Beginning of Things / The Beginning of Time,Tea,"Coventry Herald March 29, 1907; The Brookfield Courier March 02, 1898;",,,,,3.0,
6,6,6,UR_249,A Good Spread for a Start,Bread and Butter,"Coventry Herald March 29, 1907;",,,,,2.0,
7,7,7,UR_250,Hidden Tears / What Goes Before Tears,"Onions / Horeraddish (The Medina Tribune NY November 15, 1894.pdf)","Coventry Herald March 29, 1907; The Red Cloud chief May 03, 1901; Evening times-Republican October 10, 1906; Audubon County journal October 30, 1913; The Mt. Sterling advocate June 16, 1896; Evening times-Republican October 10, 1906; The Newport Miner June 10, 1909; Virginian-Pilot October 25, 1899; The Madisonian February 22, 1896; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Ithaca Daily Journal September 28, 1898; The Medina Tribune November 08, 1894; The Daily News Batavia November 11, 1892; The East Hampton Star November 18, 1898; The Elizabethtown Post November 23, 1893;",,,,,17.0,
8,8,8,UR_251,There's More in this Than Meets the Eye,Sausage Roll,"Coventry Herald March 29, 1907;",,,,,2.0,
9,9,9,UR_252,Liquids (to be shaken before taken),,"Wigan Observer and District Advertiser  January 21, 1899; The Madisonian February 22, 1896;",,,,,3.0,
10,10,10,UR_253,Solids (Well and Introduces in the Usual way as Long as he Pain Continues),,"Wigan Observer and District Advertiser  January 21, 1899;",,,,,2.0,
11,11,11,UR_254,Darren,,"Wigan Observer and District Advertiser  January 21, 1899;",,,,,2.0,
12,12,12,UR_255,(Lubricated) Staff of Life / Life's Walking Stick / Lively Cane,Bread / Biscuits,"Wigan Observer and District Advertiser  January 21, 1899; The daily telegram August 28, 1908; The aegis & intelligencer March 15, 1901; St Johnsbury Caledonian September 27, 1911; Morning journal and courier May 21, 1894; The Saint Paul globe October 09, 1896; Fergus County argus May 18, 1904; Evening journal June 05, 1913; Morning journal and courier February 24, 1893; The Florida agriculturist August 29, 1906; The Harlowton news August 05, 1910; The State Rights Democrat April 03, 1891; The Jersey City news April 05, 1893; St. Paul daily globe January 04, 1892; The Press October 29, 1891; The Daily Sentinel April 14, 1900; Chatham Courier February 26, 1913; Sag-Harbor Express March 04, 1909; The County Review Riverhead May 18, 1923; The Evening Gazette Port Jarvis May 23, 1923;",,,,,21.0,UR_45
13,13,13,UR_256,Woman's (Might) Weapon,Tounge,"Wigan Observer and District Advertiser  January 21, 1899; Oakes weekly Republican February 07, 1896; Omaha daily bee February 20, 1891; St Johnsbury Caledonian September 27, 1911; The Mt. Sterling advocate June 16, 1896; Corvallis Gazette March 09, 1906; The silver blade March 06, 1903; Juniata Sentinel and Repbulican May 18, 1892; Fergus County argus May 18, 1904; The Ravalli Republican February 24, 1897; The Jersey City news January 20, 1894; The State Rights Democrat April 03, 1891; The Daily Journal April 23, 1903; The morning call January 16, 1893; The Medina Tribune November 08, 1894; The Daily Telegram, Nanaimo December 12, 1893; Sag-Harbor Express March 04, 1909; The Malone Palladium November 03, 1892; The Daily News Batavia February 19, 1914; Sag-Harbor Express December 21, 1893; The Elizabethtown Post November 23, 1893; Bassano News June 24, 1910; ",,,,,22.0,UR_153
14,14,14,UR_257,Go Between's (Brown or White),,"Wigan Observer and District Advertiser  January 21, 1899; The Rice belt journal March 17, 1916;",,,,,3.0,
15,15,15,UR_258,In the Wood,,"Wigan Observer and District Advertiser  January 21, 1899;",,,,,2.0,
16,16,16,UR_259,Sweetbreads,,"Wigan Observer and District Advertiser  January 21, 1899;",,,,,2.0,
17,17,17,UR_260,(To be Taken with Caution),,"Wigan Observer and District Advertiser  January 21, 1899;",,,,,2.0,
18,18,18,UR_261,Kiss-Bits / Kisses,,"Wigan Observer and District Advertiser  January 21, 1899; The Daily Telegram, Nanaimo December 12, 1893;",,,,,3.0,
19,19,19,UR_262,Cool Impudence,Something-Sauce?,"Oakes weekly Republican February 07, 1896; Audubon County journal October 30, 1913; The State Rights Democrat April 03, 1891; The Phoenix Pioneer March 07, 1903; The Northern Advance April 7, 1898; ",,,,,5.0,UR_235
20,20,20,UR_263,Greased Staff,Something-bread?,"Oakes weekly Republican February 07, 1896; The Mt. Sterling advocate June 16, 1896; Evening Capital Journal March 26, 1892; The Ravalli Republican February 24, 1897; Hot Springs Weekly Star January 23, 1903; The Daily Journal April 23, 1903; The Daily Journal April 23, 1903; The Columbian April 26, 1892; The Daily Telegram, Nanaimo December 12, 1893; Wyoming County Times Warsaw March 17, 1892; The Elizabethtown Post November 23, 1893; The Amherstburg Echo March 2, 1894; ",,,,,12.0,
21,21,21,UR_264,Mixed Beverages,,"Oakes weekly Republican February 07, 1896",,,,,1.0,
