,Unnamed: 0,Archive,Attendance,Contains_BOF,Newspaper Issue Date,Event_Date,Event_Location,Location,Newspaper,Notes,Organization_Hosting,Persons,Price_Event,Revenue,Unique_Reference_Number,MENU,Coordinates,Unnamed: 0.1,Date2,Library,Citation,File_Name
0,0.0,BAnQ,,n,"June 25, 1902",2-Jul-02,Mr. Dawson's Hall,"Erle, Quebec, Canada",The Sherbrooke Examiner,,Ladies' Aid Society,Mr. Lee Gorham,,,R_27,,"[-71.6015947, 45.6995815]",,,,,"The Sherbrooke Examiner June 25, 1902"
1,1.0,BAnQ,,n,"May 18, 1911",16-May-11,"Congregational Church, lecture room","Waterville, Quebec, Canada",Sherbrooke Daily Record,,Willing Workers,,,,R_19,,"[-71.890755, 45.277061]",,,,,"Sherbrooke Daily Record May 18, 1911"
2,2.0,BAnQ,"""not well attended"" but ""was quite a success""",n,"May 18, 1911",16-May-11,"Congregational Church, lecture room","Waterville, Quebec, Canada",Sherbrooke Daily Record,References same event as R_19,Willing Workers,,,,R_26,,"[-71.890755, 45.277061]",,,,,"Sherbrooke Daily Record May 18, 1911"
3,3.0,BAnQ,,n,"May 18, 1894","May 17, 1894",,"Sherbrooke, Quebec, Canada",The Sherbrooke Examiner,,,,,,R_48,,"[-71.889038, 45.403271]",,,,,"The Sherbrooke Examiner May 18, 1894"
4,4.0,BAnQ,,N,"February 14, 1921",8-Feb-21,Elm Grove Hall,"West Shefford, Quebec, Canada",Sherbrooke Daily Record,,,,,31$ CAD,R_12,,"[-72.5645575486166, 45.3642563]",,,,,"Sherbrooke Daily Record February 14, 1921"
5,5.0,BAnQ,,n,"May 15, 1911",23-May-11,"Congregational Church, basement","Waterville, Quebec, Canada",Sherbrooke Daily Record,,Willing Workers,,,,R_18,,"[-71.890755, 45.277061]",,,,,"Sherbrooke Daily Record May 15, 1911"
6,6.0,BAnQ,,n,"May 12, 1914",12-May-14,Methodist Church Vestry,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,This newspaper references the same event as R_16,I.O.G.T.,,,,R_17,,"[-72.3919878, 45.0497367]",,,,,"Sherbrooke Daily Record May 12, 1914"
7,7.0,BAnQ,"""well attended""",n,"May 19, 1914",12-May-14,Methodist Church Vestry,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,,I.O.G.T.,Miss Agnes Crowell; F. Kel-Sisco; Dr. E. H. Henderson; Rev. G. W. Runnells; E. Davis; Mr. S. A. Mason,,,R_20,,"[-72.3919878, 45.0497367]",,,,,"Sherbrooke Daily Record May 19, 1914"
8,8.0,BAnQ,,n,"May 08, 1914",12-May-14,Methodist Church Vestry,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,,The Guiding Star Lodge No. 83,,,,R_16,,"[-72.3919878, 45.0497367]",,,,,"Sherbrooke Daily Record May 08, 1914"
9,9.0,BAnQ,,n,"March 27, 1924",1-Apr-24,"Residence of Hosts, Eleanor Parker, Myra Spencer","Shawville, Quebec, Canada",The Equity,"Interesting rendition of a Conundrum Supper, not the same as usual - April Fools CS",Eleanor Parker; Myra Spencer,Eleanor Parker; Myra Spencer,,,R_40,,"[-76.494713, 45.605872]",,,,,"The Equity March 27, 1924"
10,10.0,BAnQ,,N,"April 27, 1936",23-Apr-36,Town Hall,"Island Brook, Quebec, Canada",Sherbrooke Daily Record,,Women's Association,,,,R_5,,"[-71.4771606, 45.3890901]",,,,,"Sherbrooke Daily Record April 27, 1936"
11,11.0,BAnQ,,n,"October 30, 1916",31-Oct-16,St. James Hall,"Farnham, Quebec, Canada",Sherbrooke Daily Record,,Ladies of St. James Church,,,,R_25,,"[-72.974968, 45.2831]",,,,,"Sherbrooke Daily Record October 30, 1916"
12,12.0,BAnQ,50,N,"January 13, 1914",6-Jan-14,Temperance Hall,"Sherbrooke, Quebec, Canada",Sherbrooke Daily Record,,I.O.G.T.,F. E. Dyer; Homer Ingalls; Rev. F. J. Hayden; Eugene Dyer; Glenna Griggs; Frederick Olmstead,,19$ CAD,R_3,,"[-71.889038, 45.403271]",,,,,"Sherbrooke Daily Record January 13, 1914"
13,13.0,BAnQ,,N,"January 14, 1913",17-Jan-13,Hurlburd and Stevens' Hall,"East Farnham, Quebec, Canada",Sherbrooke Daily Record,,Ladies' Aid Society,,,,R_14,,"[-72.773094, 45.241294]",,,,,"Sherbrooke Daily Record January 14, 1913"
14,14.0,BAnQ,,n,"January 21, 1913",30-Jan-13,I.O.O.F. Hall,"East Angus, Quebec, Canada",Sherbrooke Daily Record,,Choral Society,,,,R_15,,"[-71.6594817, 45.4828558]",,,,,"Sherbrooke Daily Record January 21, 1913"
15,15.0,BAnQ,,y,"November 16, 1903",14-Nov-03,Victoria Hall,"Montreal, Quebec, Canada",Montreal Gazette,References the same event as R_71,Boys' Sunshine Club of Westmount,,,,R_72,,"[-73.6103642, 45.4972159]",,,,,"Montreal Gazette November 16, 1903"
16,16.0,BAnQ,32,N,"January 21, 1932",14-Jan-32,"Gordon Terrace, home of Miss Jessie Corey","nan, Quebec, Canada",Sherbrooke Daily Record,,Woman's Institue Members,Miss Jessie Corey; Miss McCain; Mrs. Percy Rhicard; Mrs. E. C. Knight; Mrs. Frank Corey; Mr. Lloyd Harris; Miss Dolena Nicholson; Miss Maude Fortin; Mr. Clifford Rhicard; Mrs. F. J. Laraway; Mrs. Raymond Wescott; Miss Sarach Yates; Mr. F. J. Laraway; Billy Rhicard,,,R_13,,"[-71.8258668, 52.4760892]",,,,,"Sherbrooke Daily Record January 21, 1932"
17,17.0,BAnQ,,n,"May 21, 1936",,,"Dixville, Quebec, Canada",Sherbrooke Daily Record,"The newspaper mentions that at a certain event ""Plans were then made for a conundrum supper""",Woman's Institue Members,Mrs. Gordon Bellows,,,R_21,,"[-71.770935, 45.067701]",,,,,"Sherbrooke Daily Record May 21, 1936"
