id,title,author,publication,date,location,content
DX1901124530,"""THE RIDDLE THAT MADE COUNT BISMARCK SICK""",,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","January 11, 1868",London England,
CC1903068950,A DOUBLE Missionary Enigma,W. B.,The Juvenile Missionary Magazine (UKP),"May 1, 1869",London England,
DX1901052543,A LITTLE GAME,CAPTAIN FELIX,Good Words for the Young (UKP),n.d.,London England,
CC1903068639,A MISSIONARY ENIGMA,M. S. D.,The Juvenile Missionary Magazine (UKP),"May 1, 1867",London England,
CC1903068667,A MISSIONARY ENIGMA,M. S. D.,The Juvenile Missionary Magazine (UKP),"July 1, 1867",London England,
CC1903068695,A Missionary Enigma,M. S. D.,The Juvenile Missionary Magazine (UKP),"September 2, 1867",London England,
CC1903068781,A Missionary Enigma,,The Juvenile Missionary Magazine (UKP),"May 1, 1868",London England,
CC1903068792,A Missionary Enigma,J. D.,The Juvenile Missionary Magazine (UKP),"June 1, 1868",London England,
CC1903078046,A Missionary Enigma,M. S. D.,The Juvenile Missionary Magazine (UKP),"November 1, 1867",London England,
CC1903699755,A Riddle,,Melbourne Punch,"February 19, 1880",Melbourne Australia,
CC1903724456,A Triple Riddle,,Melbourne Punch,"November 5, 1885",Melbourne Australia,
DX1901122488,ANSWERS TO CRACKERS No. 32,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","July 13, 1867",London England,
DX1901055674,"ANSWERS TO RIDDLES, &c., OF LAST WEEK",,Our Young Folk's Weekly Budget,"October 8, 1881",London England,
DX1901069917,"ANSWERS TO RIDDLES, &c., OF LAST WEEK",,Our Young Folk's Weekly Budget,"October 9, 1886",London England,
AFHNCU999127324,Award of Prizes,,Young Britannia,"July 4, 1885",London England,
AVTQJY928249968,Award of Prizes,,Young Britannia,"April 11, 1885",London England,
CFUADH064435850,Award of Prizes,,Young Britannia,"April 25, 1885",London England,
DBBEXX412787124,Award of Prizes,,Young Britannia,"May 16, 1885",London England,
CC1903369948,BLOW IT,,Melbourne Punch,"January 15, 1874",Melbourne Australia,
CC1903243472,Charade,E. J.,Cape Monthly Magazine,"August 1, 1872",Cape Town South Africa,
CC1903243678,Charade,A. W. C.,Cape Monthly Magazine,"November 1, 1873",Cape Town South Africa,
CC1903243636,Charades,B. M. R.,Cape Monthly Magazine,"September 1, 1873",Cape Town South Africa,
CC1903243655,Charades,,Cape Monthly Magazine,"October 1, 1873",Cape Town South Africa,
CC1903243668,Charades,B. M. R.,Cape Monthly Magazine,"November 1, 1873",Cape Town South Africa,
CC1903243729,Charades,B. M. R.,Cape Monthly Magazine,"April 1, 1874",Cape Town South Africa,
CC1903244355,Charades,M. E. BARBER,Cape Monthly Magazine,"October 1, 1876",Cape Town South Africa,
CC1903244376,Charades,M. F. BARBER,Cape Monthly Magazine,"November 1, 1876",Cape Town South Africa,
CC1903244414,Charades,M. E. BABRER,Cape Monthly Magazine,"January 1, 1877",Cape Town South Africa,
CC1903244472,Charades,M. E. BARBER,Cape Monthly Magazine,"May 1, 1877",Cape Town South Africa,
CC1903254381,CHARDES,C. MCLELLAND,Australian Journal,"December 29, 1866",Melbourne Australia,
DX1901121660,Christmas Riddles,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","December 2, 1892",London England,
DX1901123022,CHRISTMAS RIDDLES,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","December 9, 1871",London England,
AKIXXU370351858,Comic Column,,Boy's Herald,"June 2, 1877",London England,
DX1901115653,Crackers for Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","January 20, 1880",London England,
DX1901106081,Crackers for the .,W. H. PARSONS,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","June 15, 1877",London England,
DX1901105325,Crackers for the Angenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","October 27, 1876",London England,
DX1901105091,Crackers for the Dugenious,JAMES AVON,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","August 11, 1876",London England,
DX1901104424,Crackers for the Fugcuious,THOMAS ATKINSON,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","January 14, 1876",London England,
DX1901104379,Crackers for the Ingenious,MURRAY HAYNE,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction",n.d.,London England,
DX1901104403,Crackers for the Ingenious,WILLIAM GUTTERIDGE,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","January 7, 1876",London England,
DX1901104447,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","January 21, 1876",London England,
DX1901104469,Crackers for the Ingenious,G. F. BABBAGE,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","January 28, 1876",London England,
DX1901104493,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","February 4, 1876",London England,
DX1901104586,Crackers for the Ingenious,A. E. WOOD,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","March 3, 1876",London England,
DX1901104614,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","March 10, 1876",London England,
DX1901104679,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","March 31, 1876",London England,
DX1901104701,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","April 7, 1876",London England,
DX1901104770,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","April 28, 1876",London England,
DX1901104838,Crackers for the Ingenious,W. W. PUDDICOMBE,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","May 19, 1876",London England,
DX1901105023,Crackers for the Ingenious,CHARLES MAC,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","July 21, 1876",London England,
DX1901105068,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","August 4, 1876",London England,
DX1901105115,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","August 18, 1876",London England,
DX1901105215,Crackers for the Ingenious,J. CONNING,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","September 22, 1876",London England,
DX1901105277,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","October 13, 1876",London England,
DX1901105303,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","October 20, 1876",London England,
DX1901105387,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","November 17, 1876",London England,
DX1901105411,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","November 24, 1876",London England,
DX1901105504,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","December 22, 1876",London England,
DX1901105525,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","December 29, 1876",London England,
DX1901105636,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","February 2, 1877",London England,
DX1901105663,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","February 9, 1877",London England,
DX1901105685,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","February 16, 1877",London England,
DX1901105711,Crackers for the Ingenious,,"Boys of England: A Magazine of Sport, Sensation, Fun, and Instruction","February 23, 1877",London England,
