Unique_Reference_Number,Newspaper,Date,Event_Date,Country,County,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive
R_383,Banbury Advertiser,12/15/38,12/13/38,England,Oxfordshire,Banbury,Ladies of the [Methodist] Church,Church Lane Methodist Schoolroom,,n/a,n/a,n/a,No,Proceeds from the supper and a collection are in aid of Trust funds,British Newspaper Archives
R_384,Todmorden & District News,4/7/11,4/1/11,England,Yorkshire,Todmorden,Foster-lane Wesleyan Church,Crimsworth Wesleyan School,Miss Edith Gotten,n/a,n/a,"""well attended""",No,,British Newspaper Archives
R_385,Wigan Observer and District Advertiser ,10/17/12,10/12/12,England,Lancashire,Wigan,Primitive Methodist Sunday School,Primary department of the Primitive Methodaist Sunday School,n/a,n/a,n/a,n/a,No,"Mentioned again on 1912-10-19, didn't save PDF of the second. Text is nearly identitical.",British Newspaper Archives
R_386,Tamworth Herald ,10/4/24,10/1/24,England,Staffordshire,Tamworth,Young Ladies' Guild in connection with the United Methodist Church,n/a,Mrs. S. Barlow,n/a,n/a,"""good attendance""",No,,British Newspaper Archives
R_387,Leigh Chronicle and Weekly District Advertiser ,3/24/11,3/18/11,England,Lancashire,Leigh,Cook-street School,Cook-street School,n/a,n/a,£3. 12s. 21d.,~100,No,,British Newspaper Archives
R_388,Hartlepool Northern Daily Mail ,4/22/26,n/a,England,Durham,Hartlepool,B.W.T.A.,Tower Street Cong. Schoolroom,n/a,n/a,n/a,n/a,No,,British Newspaper Archives
R_389,Leigh Chronicle and Weekly District Advertiser ,1/29/09,1/27/09,England,Lancashire,Leigh,Cook-street School,Cook-street Church,n/a,n/a,£2,n/a,No,,British Newspaper Archives
R_390,Rochdale Observer ,12/15/15,12/11/15,England,Lancashire,Rochdale,Zion Baptist Church,Zion Baptist Church,Rev. A. Russel Tomlin,n/a,n/a,n/a,No,,British Newspaper Archives
R_391,Wigan Observer and District Advertiser ,3/28/14,4/19/14,England,Lancashire,Wigan,Ladies committee of the Sunday School Union,"Central Hall, Station-road, Wigan",n/a,n/a,"""succinctly satisfactory""","""very good""",No,,British Newspaper Archives
R_392,Leigh Chronicle and Weekly District Advertiser ,4/22/10,4/16/10,England,Lancashire,Leigh,n/a,Glazebury Westleyan School,n/a,n/a,n/a,n/a,No,,British Newspaper Archives
R_393,Burnley Express,12/4/26,12/1/26,England,Lancashire,Burnley,Ladies of the United Methodist Church,United Methodist Church,n/a,n/a,n/a,n/a,No,,British Newspaper Archives
R_394,Burnley Express,11/29/16,11/25/16,England,Lancashire,Burnley,Wesley Guild,Sunday school,Rev. F. E. Walker,n/a,n/a,"""excellent""",No,,British Newspaper Archives
R_395,Rochdale Observer ,1/21/14,1/17/14,England,Lancashire,Rochdale,Ladies of the Smallbridge Congregational Sunday school,Smallbridge Congregational Sunday school,n/a,n/a,n/a,>100,No,,British Newspaper Archives
R_396,Wigan Observer and District Advertiser ,1899-01-21,1899-01-18,England,Lancashire,Wigan,King Street Baptist School,King Street Baptist School,n/a,n/a,£30 expected,n/a,Yes,"Menu and some solutions provided; Mentioned a second time on 1899-01-35. PDF not added, text almost identical",British Newspaper Archives
R_397,Todmorden & District News,1/13/11,1/14/11,England,Yorkshire,Todmorden,British Women's Temperance Association,"Salem School room, Hebden Bridge",n/a,"""reasonable charges""",n/a,n/a,No,Admnission to the event costs 3d. Different than the price of the conundrum supper,British Newspaper Archives
R_398,Heywood Advertiser,1/4/01,12/28/00,England,Lancashire,Heywood,Bamford Congregational School,Bamford Congregational School,Mr. RH Holt,n/a,£17 total,n/a,No,"Part of a larger event, total revenue is for the whole event",British Newspaper Archives
R_399,Heywood Advertiser,1892-03-25,1892-03-28,England,Lancashire,Heywood,Young Men's Class [Wesleyan School],"Wesleyan School, Hill-street, Heywood",WM Booth,"1s each, half price for children under 12",n/a,n/a,No,,British Newspaper Archives
R_400,Wigan Observer and District Advertiser ,12/11/13,12/3/13,England,Lancashire,Wigan,Belle Green Mission,Belle Green Schools,n/a,n/a,n/a,"""very large""",No,"Mentioned again on 1913-12-20, text almost identical; PDF not added.",British Newspaper Archives
R_401,Todmorden & District News,3/14/13,3/8/13,England,Yorkshire,Todmorden,Hope Church,Hope School,"""Conundrum Warbles""",,£10,"""largely attended""",No,,British Newspaper Archives
R_402,Rochdale Observer ,4/17/15,4/10/15,England,Lancashire,Rochdale,Dearnley Spiritualists,Dearnley Spiritual Temple,n/a,n/a,n/a,"""large gathering""",No,,British Newspaper Archives
R_403,Leigh Chronicle and Weekly District Advertiser ,12/6/12,11/30/12,England,Lancashire,Leigh,Ladies [of Glazebury Primitive Method School],Glazebury Primitive Method School,Miss Jeff,n/a,n/a,130,No,"Part of a ""cobweb social""",British Newspaper Archives
R_404,Heywood Advertiser,9/21/06,9/15/06,England,Lancashire,Heywood,"UMFC, Bagslate, in connection with Sunday School Football Club","UMFC, Bagslate Schoolroom",Mr P Heap ,n/a,n/a,"""large""",No,,British Newspaper Archives
R_405,Todmorden & District News,12/29/16,12/25/19,England,Yorkshire,Todmorden,Springside Wesleyan Sunday School,Springside Wesleyan Sunday School,Mr James Whitaker,n/a,n/a,n/a,No,,British Newspaper Archives
R_406,Wigan Observer and District Advertiser ,2/13/09,1/27/09,England,Lancashire,Wigan,"Independent Methodists, New Springs",Ranter?,n/a,n/a,n/a,>100,No,,British Newspaper Archives
