,'File' Attachments,Edition,Issue,Date,Newspaper,Notes,Place Published,Location,Record Number,Reference Type,Reporter,Short Title,Title,Year,Reference Type,Archive
0,"internal-pdf://0745778932/Aberdeem Democrat, April 24, 1908.pdf",,,24-Apr-08,The Aberdeen Democrat,Also mentioned May 08.,Bank Building,"Aberdeen, South Dakota",5985,,,Lowry Improvement League,Lowry Improvement League,24-Apr-08, Newspaper Article,LOC Conundrum Supper
1,"internal-pdf://4087448086/The aegis & intelligencer, March 23, 1900.pdf",,,23-Mar-00,The aegis & intelligencer,,Residence of Mr. W.H. Grey,"Bagley, Maryland",6236, Newspaper Article,,N/A,N/A,5-Apr-00,,LOC Conundrum Supper
2,"internal-pdf://2306743113/The aegis & intelligencer, December 16, 1892.pdf",,,"December 16, 1892",The aegis & intelligencer,Contains eBOF; same event is referenced in the issue from December 02,Town hall,"Darlington, Maryland",6240, Newspaper Article,,Ladies of the M.E. church,Ladies of the M.E. church,"December 08, 1892",,LOC Conundrum Supper
3,"internal-pdf://3244173415/The aegis & intelligencer, December 21, 1894.pdf",,,"December 21, 1894",The aegis & intelligencer,,"Residence of Joshua G. Lucky, Esq.","Shawsville, Maryland",6241, Newspaper Article,,N/A,N/A,"December 24, 1894",,LOC Conundrum Supper
4,"internal-pdf://0352118601/The aegis & intelligencer, June 29, 1900.pdf",,,29-Jun-00,The aegis & intelligencer,,W.C.T.U. hall,"Forest Hill, Maryland",6237, Newspaper Article,,W.C.T.U.,W.C.T.U.,4-Jul-00,,LOC Conundrum Supper
5,"internal-pdf://0076065813/The aegis & intelligencer, July 14, 1922.pdf",,,14-Jul-22,The aegis & intelligencer,,"Friends schoolhouse, Fallston","Bel Air, Maryland",6234, Newspaper Article,,N/A,N/A,20-Jul-22,,LOC Conundrum Supper
6,"internal-pdf://1395235123/The aegis & intelligencer, March 15, 1901.pdf",,,15-Mar-01,The aegis & intelligencer,Contains eBOF,Residence of J.E. Eggleston,"Jarrettsville, Maryland",6238, Newspaper Article,,C.E. of Calvary church,C.E. of Calvary church,8-Mar-01,,LOC Conundrum Supper
7,"internal-pdf://3692101148/The aegis & intelligencer, April 17, 1896.pdf",,,"April 17, 1896",The aegis & intelligencer,Same event is referenced in the issue from April 24,Old church building,"Aberdeen, Maryland",6242, Newspaper Article,,Young Ladies of Aberdeen M.E. church,Young Ladies of Aberdeen M.E. church,"May 05, 1896 AND May 06, 1896",,LOC Conundrum Supper
8,"internal-pdf://4022819571/The aegis & intelligencer, November 08, 1907.pdf",,,8-Nov-07,The aegis & intelligencer,Same event is referenced in the issue from November 15,Lecture room of the church,"Aberdeen, Maryland",6235, Newspaper Article,,Epworth league of the Bel Air M.E. church,Epworth league of the Bel Air M.E. church,22-Nov-07,,LOC Conundrum Supper
9,"internal-pdf://2027907664/The aegis & intelligencer, November 24, 1899.pdf",,,"November 24, 1899",The aegis & intelligencer,Same event is referenced in the issue from November 17,Stockton shops,"Clayton, Maryland",6243, Newspaper Article,,Ladies’ Aid society of the Jerusalem Christian church,Ladies’ Aid society of the Jerusalem Christian church,"November 28, 1899 AND November 29, 1899",,LOC Conundrum Supper
10,"internal-pdf://3080593840/The aegis & intelligencer, September 08, 1922.pdf",,,8-Sep-22,The aegis & intelligencer,,Odd Fellows hall at Upper Cross Roads,"Bel Air, Maryland",6244, Newspaper Article,,Sunday School Association of Providence M.P. church,Sunday School Association of Providence M.P. church,11-Sep-22,,LOC Conundrum Supper
11,"internal-pdf://1504569913/The aegis & intelligencer, September 29, 1905.pdf",,,29-Sep-05,The aegis & intelligencer,,Residence of Miss Mae F. Snodgrass,"Bel Air, Maryland",6239, Newspaper Article,,The Strollers’ Club,The Strollers’ Club,21-Sep-05,,LOC Conundrum Supper
12,"internal-pdf://1402586703/Alma record, August 29, 1918.pdf",,,29-Aug-18,Alma record,,At the church,"Alma, Michigan",6251, Newspaper Article,,Ladies’ Aid of the Church of Christ,Ladies’ Aid of the Church of Christ,6-Sep-18,,LOC Conundrum Supper
13,"internal-pdf://1431419374/Alma record, September 20, 1895.pdf",,,"September 20, 1895",Alma record,,Residence of Mrs. Minnie McCarty,"Alma, Michigan",6254, Newspaper Article,,Mrs. Minnie McCarty,Mrs. Minnie McCarty,"September 17, 1895",,LOC Conundrum Supper
14,"internal-pdf://0628175006/Amador ledger, September 25, 1903.pdf",,,25-Sep-03,Amador ledger,,National hotel,"Jackson, California",6012, Newspaper Article,,N.D.G.W.,N.D.G.W.,24-Sep-03,,LOC Conundrum Supper
15,"internal-pdf://0266165496/American Fork Citizen, November 20, 1914.pdf",,,21-Nov-14,American Fork Citizen,"Also mentioned in the Lehi Banner, November 21, 1914.",Residence of Mrs CL Warnick,"American Fork, Utah",5997, Newspaper Article,,Mrs CL Warnick,Mrs CL Warnick,14-Nov-14,,LOC Conundrum Supper
16,"internal-pdf://1144522532/The Anaconda standard, January 27, 1895.pdf",,,"January 27, 1895",The Anaconda standard,,N/A,"Helena, Montana",6302, Newspaper Article,,Grand Street Methodist church,Grand Street Methodist church,"January 25, 1895",,LOC Conundrum Supper
17,"internal-pdf://0552910250/The Anaconda standard, April 17, 1893.pdf",,,"April 17, 1893",The Anaconda standard,,New Shoemaker building,"Anaconda, Montana",6293, Newspaper Article,,Ladies of the Methodist church,Ladies of the Methodist church,N/A,,LOC Conundrum Supper
18,"internal-pdf://0304089167/Arizona republican, March 05, 1903.pdf",,,5-Mar-03,Arizona republican,Event also referenced in the issues of March 6th and March 9th,Vacant store room in the Andre building,"Tempe, Arizona",6007, Newspaper Article,,Baptist Ladies’ Aid society,Baptist Ladies’ Aid society,6-Mar-03,,LOC Conundrum Supper
