,level_0,Unnamed: 0,index,Unnamed: 0.1,Newspaper,Newspaper_Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Coordinates
0,0,0,0,0,Kelowna Record,1919-05-01,1919-05-09,Canada,British Columbia,Kelowna,The Ladies Aid of the Methodist Church,,,,,,N,,"(49.889326, -119.498291)"
1,1,1,1,1,Wyoming County Times Warsaw,1903-09-23,1903-10-02,U.S.,NY,Wyoming County,The Political Equality Club,,Mrs. S. B. Whitlock,,,,n,"Mentions ""a yellow tea held"" as another name for 'social gatherings' of the kind","(42.7039813, -78.2415228)"
2,2,2,2,2,Sherbrooke Daily Record,1914-01-13,1914-01-06,Canada,Quebec,Sherbrooke,I.O.G.T.,Temperance Hall,F. E. Dyer; Homer Ingalls; Rev. F. J. Hayden; Eugene Dyer; Glenna Griggs; Frederick Olmstead,,19$ CAD,50,N,,"(45.403271, -71.889038)"
3,3,3,3,3,Sherbrooke Daily Record,1920-04-01,1920-04-01,Canada,Quebec,Sherbrooke,Philathea class,Douglas Hall,,,,,N,,"(45.403271, -71.889038)"
4,4,4,4,4,Sherbrooke Daily Record,1936-04-27,1936-04-23,Canada,Quebec,Island Brook,Women's Association,Town Hall,,,,,N,,"(45.3890901, -71.4771606)"
5,5,5,5,5,Sherbrooke Daily Record,1914-12-22,,Canada,Quebec,Martinville,Mr. J. J. Parsons; Mrs. J. J. Parsons,Home residence of hosts,Laurel Merril; Pearl Martin; John Martin,,~40$ CAD,,N,,"(45.278269, -71.714287)"
6,6,6,6,6,Sherbrooke Daily Record,1932-12-27,1932-12-21,Canada,Quebec,Cowansville,Ladies' Community Guild,School room of United Church,,,,,N,,"(45.207445, -72.7480524)"
7,7,7,7,7,Sherbrooke Daily Record,1913-12-31,1914-01-02,Canada,Quebec,Sutton,,Temperance Hall,,,,,N,,"(45.1109765, -72.6177899)"
8,8,8,8,8,Sherbrooke Daily Record,1921-02-02,1921-02-08,Canada,Quebec,West Shefford,Ladies' Guild of St. John's Church,Elm Grove Hall,,,,,N,,"(45.3642563, -72.5645575486166)"
9,9,9,9,9,Sherbrooke Daily Record,1911-02-04,1911-01-31,Canada,Quebec,Stanbridge East,Willing Workers,,Mrs. E. L. Hodge; Mrs. C. S. Moore; Miss Ethel Struthers; Miss Curie; Master Lawrence Overing; Mrs. Ethel Paquette; Mrs. C. H. Hibbard; Miss Mamie Currie; Rev. R. Y. Overing; Miss Alice McKinney; Mr. G. W. Currigan; Miss Hazel Dyke; Miss Miriam Blinn; Edith Boffin; Rev. Rural Dean Robinson,,,,Y,"Both Conundrum Event and Conundrum Tea referenced in newspaper (2 events that follow ione another); Conundrum tea given by ""the young ladies of the society""","(45.1215058, -72.9160073)"
10,10,10,10,10,Sherbrooke Daily Record,1913-02-07,1913-01-30,Canada,Quebec,East Angus,Choral Society,,Mrs. C. N. Andrews; Mr. R. McCrae; Mr. H. Thompson; Mr. L. MacKey,,,,N,,"(45.4828558, -71.6594817)"
11,11,11,11,11,Sherbrooke Daily Record,1921-02-14,1921-02-08,Canada,Quebec,West Shefford,,Elm Grove Hall,,,31$ CAD,,N,,"(45.3642563, -72.5645575486166)"
12,12,12,12,12,Sherbrooke Daily Record,1932-01-21,1932-01-14,Canada,Quebec,,Woman's Institue Members,"Gordon Terrace, home of Miss Jessie Corey",Miss Jessie Corey; Miss McCain; Mrs. Percy Rhicard; Mrs. E. C. Knight; Mrs. Frank Corey; Mr. Lloyd Harris; Miss Dolena Nicholson; Miss Maude Fortin; Mr. Clifford Rhicard; Mrs. F. J. Laraway; Mrs. Raymond Wescott; Miss Sarach Yates; Mr. F. J. Laraway; Billy Rhicard,,,32,N,,"(52.4760892, -71.8258668)"
13,13,13,13,13,Sherbrooke Daily Record,1913-01-14,1913-01-17,Canada,Quebec,East Farnham,Ladies' Aid Society,Hurlburd and Stevens' Hall,,,,,N,,"(45.241294, -72.773094)"
14,14,14,14,14,Sherbrooke Daily Record,1913-01-21,1913-01-30,Canada,Quebec,East Angus,Choral Society,I.O.O.F. Hall,,,,,n,,"(45.4828558, -71.6594817)"
