Unique_Reference_Number,Newspaper,Newspaper_Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,,,,,,,,,,,,
R_1,Kelowna Record,"May 1, 1919","May 9, 1919",Canada,British Columbia,Kelowna,The Ladies Aid of the Methodist Church,n/a,n/a,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_2,Wyoming County Times Warsaw,"September 23, 1903","October 2, 1903",U.S.,NY,Wyoming County,The Political Equality Club,n/a,Mrs. S. B. Whitlock,n/a,n/a,n/a,n,"Mentions ""a yellow tea held"" as another name for 'social gatherings' of the kind",,,,,,,,,,,,
R_3,Sherbrooke Daily Record,"January 13, 1914","January 6, 1914",Canada,Quebec,Sherbrooke,I.O.G.T.,Temperance Hall,F. E. Dyer; Homer Ingalls; Rev. F. J. Hayden; Eugene Dyer; Glenna Griggs; Frederick Olmstead,n/a,19$ CAD,50,N,,,,,,,,,,,,,
R_4,Sherbrooke Daily Record,"April 1, 1920","April 1, 1920",Canada,Quebec,Sherbrooke,Philathea class,Douglas Hall,n/a,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_5,Sherbrooke Daily Record,"April 27, 1936","April 23, 1936",Canada,Quebec,Island Brook,Women's Association,Town Hall,n/a,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_6,Sherbrooke Daily Record,"December 22, 1914","~December 15, 1914",Canada,Quebec,Martinville,Mr. J. J. Parsons; Mrs. J. J. Parsons,Home residence of hosts,Laurel Merril; Pearl Martin; John Martin,n/a,~40$ CAD,n/a,N,,,,,,,,,,,,,
R_7,Sherbrooke Daily Record,"December 27, 1932","December 21, 1932",Canada,Quebec,Cowansville,Ladies' Community Guild,School room of United Church,n/a,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_8,Sherbrooke Daily Record,"December 31, 1913","January 2, 1914",Canada,Quebec,Sutton,n/a,Temperance Hall,n/a,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_9,Sherbrooke Daily Record,"February 2, 1921","February 8, 1921",Canada,Quebec,West Shefford,Ladies' Guild of St. John's Church,Elm Grove Hall,n/a,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_10,Sherbrooke Daily Record,"February 4, 1911","January 31, 1911",Canada,Quebec,Stanbridge East,Willing Workers,n/a,Mrs. E. L. Hodge; Mrs. C. S. Moore; Miss Ethel Struthers; Miss Curie; Master Lawrence Overing; Mrs. Ethel Paquette; Mrs. C. H. Hibbard; Miss Mamie Currie; Rev. R. Y. Overing; Miss Alice McKinney; Mr. G. W. Currigan; Miss Hazel Dyke; Miss Miriam Blinn; Edith Boffin; Rev. Rural Dean Robinson,n/a,n/a,n/a,Y,"Both Conundrum Event and Conundrum Tea referenced in newspaper (2 events that follow ione another); Conundrum tea given by ""the young ladies of the society""",,,,,,,,,,,,
R_11,Sherbrooke Daily Record,"February 7, 1913","January 30, 1913",Canada,Quebec,East Angus,Choral Society,n/a,Mrs. C. N. Andrews; Mr. R. McCrae; Mr. H. Thompson; Mr. L. MacKey,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_12,Sherbrooke Daily Record,"February 14, 1921","February 8, 1921",Canada,Quebec,West Shefford,n/a,Elm Grove Hall,n/a,n/a,31$ CAD,n/a,N,,,,,,,,,,,,,
R_13,Sherbrooke Daily Record,"January 21, 1932","January 14, 1932",Canada,Quebec,n/a,Woman's Institue Members,"Gordon Terrace, home of Miss Jessie Corey",Miss Jessie Corey; Miss McCain; Mrs. Percy Rhicard; Mrs. E. C. Knight; Mrs. Frank Corey; Mr. Lloyd Harris; Miss Dolena Nicholson; Miss Maude Fortin; Mr. Clifford Rhicard; Mrs. F. J. Laraway; Mrs. Raymond Wescott; Miss Sarach Yates; Mr. F. J. Laraway; Billy Rhicard,n/a,n/a,32,N,,,,,,,,,,,,,
R_14,Sherbrooke Daily Record,"January 14, 1913","January 17, 1913",Canada,Quebec,East Farnham,Ladies' Aid Society,Hurlburd and Stevens' Hall,n/a,n/a,n/a,n/a,N,,,,,,,,,,,,,
R_15,Sherbrooke Daily Record,"January 21, 1913","January 30, 1913",Canada,Quebec,East Angus,Choral Society,I.O.O.F. Hall,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_16,Sherbrooke Daily Record,"May 8, 1914","May 12, 1914",Canada,Quebec,Mansonville,The Guiding Star Lodge No. 83,Methodist Church Vestry,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_17,Sherbrooke Daily Record,"May 12, 1914","May 12, 1914",Canada,Quebec,Mansonville,I.O.G.T.,Methodist Church Vestry,n/a,n/a,n/a,n/a,n,This newspaper references the same event as R_16,,,,,,,,,,,,
R_18,Sherbrooke Daily Record,"May 15, 1911","May 23, 1911",Canada,Quebec,Waterville,Willing Workers,"Congregational Church, basement",n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
