,'File' Attachments,Archive,Attendance,Contains_BOF,Date,Edition,Event_Date,Event_Location,Issue,Location,Newspaper,Notes,Organization_Hosting,Persons,Place Published,Price_Event,Record Number,Reference Type,Reporter,Revenue,Short Title,Title,Unique_Reference_Number,Year,MENU,Coordinates
0,,BAnQ,,n,"June 25, 1902",,2-Jul-02,Mr. Dawson's Hall,,"Erle, Quebec, Canada",The Sherbrooke Examiner,,Ladies' Aid Society,Mr. Lee Gorham,,,,,,,,,R_27,,,"[-71.6015947, 45.6995815]"
1,,BAnQ,,n,"May 18, 1911",,16-May-11,"Congregational Church, lecture room",,"Waterville, Quebec, Canada",Sherbrooke Daily Record,,Willing Workers,,,,,,,,,,R_19,,,"[-71.890755, 45.277061]"
2,,BAnQ,"""not well attended"" but ""was quite a success""",n,"May 18, 1911",,16-May-11,"Congregational Church, lecture room",,"Waterville, Quebec, Canada",Sherbrooke Daily Record,References same event as R_19,Willing Workers,,,,,,,,,,R_26,,,"[-71.890755, 45.277061]"
3,,BAnQ,,n,"May 18, 1894",,"May 17, 1894",,,"Sherbrooke, Quebec, Canada",The Sherbrooke Examiner,,,,,,,,,,,,R_48,,,"[-71.889038, 45.403271]"
4,,BAnQ,,N,"February 14, 1921",,8-Feb-21,Elm Grove Hall,,"West Shefford, Quebec, Canada",Sherbrooke Daily Record,,,,,,,,,31$ CAD,,,R_12,,,"[-72.5645575486166, 45.3642563]"
5,,BAnQ,,n,"May 15, 1911",,23-May-11,"Congregational Church, basement",,"Waterville, Quebec, Canada",Sherbrooke Daily Record,,Willing Workers,,,,,,,,,,R_18,,,"[-71.890755, 45.277061]"
6,,BAnQ,,n,"May 12, 1914",,12-May-14,Methodist Church Vestry,,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,This newspaper references the same event as R_16,I.O.G.T.,,,,,,,,,,R_17,,,"[-72.3919878, 45.0497367]"
7,,BAnQ,"""well attended""",n,"May 19, 1914",,12-May-14,Methodist Church Vestry,,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,,I.O.G.T.,Miss Agnes Crowell; F. Kel-Sisco; Dr. E. H. Henderson; Rev. G. W. Runnells; E. Davis; Mr. S. A. Mason,,,,,,,,,R_20,,,"[-72.3919878, 45.0497367]"
8,,BAnQ,,n,"May 08, 1914",,12-May-14,Methodist Church Vestry,,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,,The Guiding Star Lodge No. 83,,,,,,,,,,R_16,,,"[-72.3919878, 45.0497367]"
9,,BAnQ,,n,"March 27, 1924",,1-Apr-24,"Residence of Hosts, Eleanor Parker, Myra Spencer",,"Shawville, Quebec, Canada",The Equity,"Interesting rendition of a Conundrum Supper, not the same as usual - April Fools CS",Eleanor Parker; Myra Spencer,Eleanor Parker; Myra Spencer,,,,,,,,,R_40,,,"[-76.494713, 45.605872]"
