,Unique_Reference_Number,Newspaper,Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive,Unnamed: 0,'File' Attachments,Notes,Place Published,Location,Record Number,Reference Type,Short Title,Title,Year,Reference Type.1,Edition,Issue,Reporter,County,Event Date
174,,Chicago daily tribune,1878-06-01,,,,,,,,,,,,,Chronicling America,174.0,"internal-pdf://3006968060/Chicago daily tribune, June 01, 1878.pdf",Highly interesting because of the extremely early date,,"Chicago, Illinois",6532.0, Newspaper Article,,,,,,,,,
14,R_68,Vermont Phoenix,1883-01-05,"January 8, 1883",U.S.,VT,Brattleboro,Ladies' Aid Society,,,,,,n,"""In place of an annual Christmas festival""",,,,,,"Brattleboro, VT, U.S.",,,,,,,,,,,
464,,Vermont Phoenix,1883-01-05,,,,,,,,,,,,,Chronicling America,464.0,"internal-pdf://0352406213/Vermont Phoenix, January 05, 1883.pdf",,,"Brattleboro, Vermont",6169.0, Newspaper Article,The Ladies’ Aid Society,The Ladies’ Aid Society,"January 08, 1883",,,,,,
207,,Seattle daily post-intelligencer,1883-12-01,,,,,,,,,,,,,Chronicling America,207.0,"internal-pdf://2921528247/Seattle daily post-intelligencer, December 01.pdf","Some details, very early eBOF",M.E. parsonage,"Seattle, Washington",6807.0, Newspaper Article,,,"November 30, 1883",,,,,,
83,,St. Paul daily globe,1887-01-29,,,,,,,,,,,,,Chronicling America,83.0,"internal-pdf://4172670831/St. Paul daily globe, January 29, 1887.pdf",,,"Saint Paul, Minnesota",6595.0, Newspaper Article,Mrs. W.A. Sperry,Mrs. W.A. Sperry,"January 24, 1887",,,,,,
77,,St. Paul Daily Globe,1889-02-23,,,,,,,,,,,,,Chronicling America,77.0,"internal-pdf://2855384615/St. Paul Daily Globe, February 23, 1889.pdf",,Home of Mrs. J.D. Spalding,"Saint Paul, Minnesota",6512.0, Newspaper Article,Mrs. J.D. Spalding,Mrs. J.D. Spalding,,,,,,,"February 16, 1889"
214,,The Red Cloud chief,1889-10-11,,,,,,,,,,,,,Chronicling America,214.0,"internal-pdf://1682085269/The Red Cloud chief, October 11, 1889.pdf",,Residence of Mrs. Wm. Cather,"Red Cloud, Nebraska",6615.0, Newspaper Article,,,"October 10, 1889",,,,,,
227,,St. Paul daily globe,1889-10-30,,,,,,,,,,,,,Chronicling America,227.0,"internal-pdf://2407636600/St. Paul daily globe, October 30, 1889.pdf",Same event is referenced in the issue from November 3,"Residence of E.N. Brown, 1512 Harmon place","Saint Paul, Minnesota",6594.0, Newspaper Article,Y.P.S.C.E. of the First Baptist church,Y.P.S.C.E. of the First Baptist church,"October 30, 1889",,,,,,
26,,Wichita eagle,1889-11-30,,,,,,,,,,,,,Chronicling America,26.0,"internal-pdf://0352406210/Wichita eagle, November 30, 1889.pdf",,First Presbyterian church,"Wichita, Kansas",6556.0, Newspaper Article,Y.P.S.C.E.,Y.P.S.C.E.,"December 08, 1899",,,,,,
9,R_62,The St. Paul Daily Globe,1890-05-25,"May 30, 1890",U.S.,MN,St. Paul,Ladoes of the Presbyterian Church,Residence of Mrs. A. B. Robbins,Mrs. A. B. Robbins,,,,n,,,,,,,"St. Paul, MN, U.S.",,,,,,,,,,,
442,,St. Paul daily globe,1890-05-25,,,,,,,,,,,,,Chronicling America,442.0,"internal-pdf://1065311702/St. Paul daily globe, May 25, 1890.pdf",,Residence of Mrs. A.B. Robbins,"Merrian Park, Minnesota",6269.0, Newspaper Article,Ladies of the Presbyterian church,Ladies of the Presbyterian church,"May 30, 1890",,,,,,
185,,The Hope pioneer,1890-08-22,,,,,,,,,,,,,Chronicling America,185.0,"internal-pdf://2765392859/The Hope pioneer, August 22, 1890.pdf",Same event is referenced in the issue from August 29,Arcade hall,"Hope, North Dakota",6409.0, Newspaper Article,Ladies Aid society of the Congregational church,Ladies Aid society of the Congregational church,"August 27, 1890",,,,,,
218,,The Press,1890-10-16,,,,,,,,,,,,,Chronicling America,218.0,"internal-pdf://2550207927/The Press, October 16, 1890.pdf",,Parlors of the church,"Tolland, Connecticut",6471.0, Newspaper Article,Ladies of the Congregational church,Ladies of the Congregational church,"October 17, 1890",,,,,,
444,,St. Paul daily globe,1890-11-26,,,,,,,,,,,,,Chronicling America,444.0,"internal-pdf://2444348464/St. Paul daily globe, November 26, 1890.pdf",Same event is referenced in the issue from November 28,,"St. Paul, Minnesota",6267.0, Newspaper Article,Ladies of Grace Congregational church,Ladies of Grace Congregational church,"November 27, 1890",,,,,,
277,,Omaha daily bee,1891-02-15,,,,,,,,,,,,,Chronicling America,277.0,"internal-pdf://4089174005/Omaha daily bee, February 15, 1891.pdf",,Corner of Twentieth and Capitol avenue,"Omaha, Nebraska",6311.0, Newspaper Article,Ladies of the First Christian church,Ladies of the First Christian church,"February 19, 1891",,,,,,
62,,Omaha daily bee,1891-02-20,,,,,,,,,,,,,Chronicling America,62.0,"internal-pdf://3456866947/Omaha daily bee, February 20, 1891.pdf",Contains a few eBOF dishes,First Christian church,"Omaha, Nebraska",6624.0, Newspaper Article,,,"February 19, 1891",,,,,,
2,R_55,Cleaveland Gazette,1891-03-07,,U.S.,OH,Cleveland,The Ladies' Helping Hand society,Residence of Mr. and Mrs. George Thompson,Mr. George Thompson; Mrs. George Thompson;,,10.14$ USD,30,y,,,,,,,"Cleveland, OH, U.S.",,,,,,,,,,,
82,R_141,Herkimer Democrat,1891-03-11,"March 4, 1891",U.S.,NY,Frankfort,,Baptist Church,,,45$ USD,,n,,,,,,,"Frankfort, NY, U.S.",,,,,,,,,,,
440,,St. Paul daily globe,1891-03-15,,,,,,,,,,,,,Chronicling America,440.0,"internal-pdf://4098439584/St. Paul daily globe, March 15, 1891.pdf",,West Side Westminster Presbyterian church,"St. Paul, Minnesota",6268.0, Newspaper Article,,,"March 20, 1891",,,,,,
62,,The Saline County Journal,1891-03-19,,,,,,,,,,,,,Chronicling America,62.0,"internal-pdf://1504569912/The Saline County Journal, March 19, 1891.pdf",,,"Salina, Kansas",6496.0, Newspaper Article,The Epworth League of the M.E. Church,The Epworth League of the M.E. Church,,,,,,,"March 21, 1891"
